鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
神岡區,房地(土地+建物),臺中市神岡區中正路６３之３號,161.63,都市：其他:住宅區,,,1100918,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1010216,145.75,4,3,3,有,無,14800000,101544,,0.0,0,,RPRNMLRJJIGGFDB47DA,133.45,12.3,0.0,無,
豐原區,土地,上南坑段569地號,108.5,,山坡地保育區,丙種建築用地,1101018,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1050000,9677,,0.0,0,未登記建物；,RPQOMLKKJIGGFDB86DA,0.0,0.0,0.0,無,
豐原區,房地(土地+建物)+車位,臺中市豐原區豐勢路二段２５２巷１２之３號,104.81,都市：其他:第一種住宅區,,,1091130,土地4建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1100914,189.38,4,3,3,有,無,16780000,88605,一樓平面,0.0,0,其他增建；預售屋、或土地及建物分件登記案件；,RPWOMLKKJIGGFDB47DA,176.56,12.82,0.0,無,
豐原區,房地(土地+建物)+車位,臺中市豐原區豐勢路二段２５２巷１２之１０號,107.42,都市：其他:第一種住宅區,,,1100413,土地4建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1100914,179.47,4,3,3,有,無,16500000,91937,一樓平面,0.0,0,其他增建；預售屋、或土地及建物分件登記案件；,RPQPMLKKJIGGFDB96DA,166.28,13.19,0.0,無,
豐原區,土地,萬順段1447地號,197.91,都市：其他:第一種住宅區,,,1101013,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,17685,,0.0,0,二親等間買賣。,RPTNMLLKJIGGFDB17DA,0.0,0.0,0.0,無,
神岡區,土地,六張段1123地號,366.06,都市：其他:農業區,,,1091223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9744240,26619,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLLKJIGGFDB86DA,0.0,0.0,0.0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區弘孝路１６１號二樓之５,10.36,都市：其他:第三種商業區,,,1101022,土地2建物1車位1,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990201,121.06,2,2,1,有,有,10550000,87147,坡道平面,27.85,0,含仲介費；,RPTRMLTJJIGGFCB18DA,59.13,2.77,0.0,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區河南路四段５２２號十三樓之２,8.75,都市：其他:第五種住宅區,,,1101004,土地1建物1車位1,十三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090722,107.05,2,2,1,有,有,12850000,120037,坡道平面,26.57,0,,RPPQMLTJJIGGFCB67DA,45.49,7.48,0.0,有,0137
南屯區,房地(土地+建物)+車位,臺中市南屯區大觀路１１號八樓之２,24.24,都市：其他:第二種商業區,,,1080503,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100721,196.9,3,2,2,有,有,21500000,122847,坡道平面,34.91,1600000,,RPWNMLTJJIGGFCB08DA,92.97,15.43,0.0,有,
南屯區,房地(土地+建物)+車位,臺中市南屯區大觀路１１號七樓之３,14.42,都市：其他:第二種商業區,,,1070808,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100721,130.06,2,2,2,有,有,13660000,125696,坡道平面,34.91,1700000,,RPPOMLTJJIGGFCB47DA,57.6,6.06,0.0,有,
