鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
八里區,房地(土地+建物)+車位,新北市八里區商港路８０號十三樓,21.15,都市：其他:第二種住宅區,,,1101024,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040306,136.46,2,2,1,有,有,8980000,70007,坡道平面,32.47,1700000,,RPPPMLMKJIGGFEF57DA,56.78,12.25,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新民街１０６巷１４號二樓,40.18,都市：其他:住宅區,,,1100920,土地2建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980714,154.53,3,2,2,有,有,10700000,73974,坡道平面,28.81,1400000,其他增建；,RPSRMLMKJIGGFEF08DA,82.42,14.57,0.0,有,
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段３３１巷８０號八樓,21.06,都市：其他:第三種住宅區。,,,1101020,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031024,122.5,2,2,1,有,有,8400000,73989,坡道平面,26.54,1300000,,RPQNMLOKJIGGFEF67DA,58.66,5.34,0.0,有,0400
三重區,房地(土地+建物),新北市三重區自強路二段６３號五樓,27.96,都市：其他:住宅區,,,1100713,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0930628,103.69,3,2,2,有,無,13000000,125374,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXPMLPLQHGGFGF96DA,77.43,8.99,0.0,有,
三重區,房地(土地+建物)+車位,新北市三重區重陽路三段５巷２８號六樓,24.06,都市：其他:住宅區,,,1100726,土地5建物1車位1,六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070626,221.28,3,2,2,有,有,30880000,152370,坡道平面,33.71,2300000,,RPOPMLMLRHGGFGF48DA,106.25,17.75,0.0,有,
貢寮區,土地,枋腳段449地號,20244.21,,山坡地保育區,農牧用地,1100818,土地86建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5978618,295,,0.0,0,,RPPNMLOLRHGGFFF48DA,0.0,0.0,0.0,無,0401
淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段１０８號二十四樓,26.91,都市：其他:第五種住宅區,,,1101016,土地1建物1車位1,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,178.58999999999997,3,2,2,有,有,15000000,88559,坡道平面,25.02,1400000,,RPQRMLPKJIGGFEF18DA,88.94,15.19,0.0,有,
八里區,房地(土地+建物)+車位,新北市八里區龍米路二段２０６巷１７號五樓,33.26,都市：其他:第三種住宅區。,,,1101024,土地2建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980715,151.59,3,2,2,有,有,11200000,73884,升降機械,16.99,0,陽台外推；,RPUOMLQKJIGGFEF38DA,88.69,12.24,0.0,有,0402
三芝區,房地(土地+建物)+車位,新北市三芝區三民街４５號六樓,27.88,都市：其他:住宅區,,,1101028,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0861117,185.17000000000002,4,1,2,有,有,6000000,32403,坡道平面,35.36,0,,RPRQMLQKJIGGFEF28DA,100.48,13.15,0.0,有,
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區長榮路４９６號六樓,35.12,都市：其他:住宅區,,,1101010,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931006,188.66,4,2,2,有,有,25180000,133468,坡道平面,34.0,0,陽台外推；,RPUNMLQKIIGGFGF38DA,95.26,17.4,0.0,有,
三重區,房地(土地+建物)+車位,新北市三重區重新路一段５３號四樓,24.29,都市：其他:商業區,,,1100910,土地1建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080307,252.93,0,0,0,無,有,34300000,166774,坡道平面,67.05,3300000,,RPSPMLPJJIGGFGF28DA,112.13,11.08,0.0,有,
